customer_id,age,occupation,potentially_vulnerable_address,bankruptcy_or_iva,deposits_60d_gbp,losses_60d_gbp,lifetime_npr_gbp,failed_dep_insufficient_funds_24h,payment_methods_added_7d,active_hours_24h,max_session_hours_24h,at_risk_session_hours_flag,active_hours_7d,deposits_1h_count,deposits_1h_total_gbp,withdrawal_within_24h,big_win_30d_gbp,wagered_24h_gbp,failed_dep_velocity_24h,loss_3d_gbp,payday_deposit_share_last_3d,monthly_loss_gbp,repeat_segment_entries_7d,previous_gamstop_or_se,timeouts_365d,spend_limit_changes_90d,spend_limit_increase_or_removal_count_90d,limit_type,current_spend_limit_gbp,reality_check_on,sof_approved,tr_high_deposits,tr_failed_dep_insufficient_funds,tr_multiple_payment_methods,tr_financial_vulnerability,tr_losses_over_time,tr_extended_gameplay,tr_long_session,tr_at_risk_hours,tr_weekly_hours,tr_binges,tr_big_win_then_increase,tr_high_wagering,tr_failed_dep_velocity,tr_high_velocity,tr_payday_pattern,tr_repetitive_behaviour,tr_prev_gamstop,tr_repeated_timeouts,tr_limit_fluctuations,tr_high_limit_active,tr_age_young,tr_age_old,tr_occ_unemployed,tr_occ_student,tr_occ_retired,tr_vulnerable_address,tr_limits_in_place_reduction,tr_reality_check,tr_sof_approved,sg_score,risk_band,high_risk_target
CUST_000001,42,retired,0,0,890.54,717.82,2007.18,0,0,1.43,1.43,0,6.59,0,10.74,0,3718.39,2504.75,0,630.1,0.329,367.74,0,0,0,1,0,daily,1150.42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,-20,none_or_negative,0
CUST_000002,24,employed,0,0,376.13,237.91,223.87,0,0,0.4,0.02,1,8.8,0,29.58,0,1446.41,498.58,0,432.5,0.6621,825.94,0,0,0,2,0,weekly,2189.97,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,-55,none_or_negative,0
CUST_000003,48,retired,0,0,1928.78,1356.8,569.5,1,0,1.52,1.52,1,4.66,1,58.05,0,754.12,1665.78,1,644.33,0.339,356.16,0,0,0,0,0,monthly,1990.03,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,-10,none_or_negative,0
CUST_000004,50,employed,1,0,3582.17,488.01,356.11,0,0,3.43,0.74,0,10.21,1,146.24,0,12304.91,1983.01,0,470.11,0.4339,395.57,1,0,1,0,0,none,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,40,medium,0
CUST_000005,18,employed,0,0,912.77,1005.99,748.14,0,1,4.85,0.28,0,13.0,0,53.06,0,39815.35,636.25,0,87.32,0.1317,1097.96,0,0,0,1,0,monthly,615.34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,-15,none_or_negative,0
CUST_000006,21,employed,0,0,553.21,1303.3,941.22,0,0,1.08,1.08,0,3.29,2,15.52,0,53.29,3319.24,0,349.06,0.0744,602.84,0,0,0,1,1,daily,3344.22,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,-25,none_or_negative,0
CUST_000007,40,employed,0,0,6320.94,1111.44,190.75,0,0,2.0,0.7,0,10.75,3,111.09,0,1880.85,1243.19,0,27.05,0.1512,263.94,0,0,0,0,0,none,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,none_or_negative,0
CUST_000008,34,employed,0,0,3052.36,209.31,1343.99,0,1,1.9,1.9,1,3.74,2,113.88,1,1647.71,4075.08,0,1200.62,0.4139,377.21,0,0,0,3,3,monthly,2413.14,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,-20,none_or_negative,0
CUST_000009,38,employed,0,0,1253.56,544.85,7556.4,0,0,1.99,1.99,0,5.93,2,55.4,1,331.53,3455.16,1,1142.48,0.496,1745.32,0,0,0,1,0,none,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,none_or_negative,0
CUST_000010,27,employed,0,0,8129.71,9833.91,1153.87,1,1,5.76,1.82,0,27.91,3,824.16,1,348318.62,17915.2,0,989.93,0.2551,3448.35,1,0,1,1,1,weekly,738.29,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,66,high,1
